ID,AssistsTotal,BlocksTotal,DefensiveReboundsTotal,DoubleDoubles,Efficiency,FieldGoals2PointsAttemptedTotal,FieldGoals2PointsMadeTotal,FieldGoals3PointsAttemptedTotal,FieldGoals3PointsMadeTotal,FreeThrowsAttemptedTotal,FreeThrowsMadeTotal,GamesPlayedTotal,LastName,MinutesTotal,OffensiveReboundsTotal,OfficialName,PersonalFoulsTotal,PlayerId,PlayerLink,PlusMinus,PointsTotal,Position,SecondsTotal,ShirtNumber,StealsTotal,TripleDoubles,TurnOversTotal,Country,FullName
217,1,1,6,0,11.0,14,4,4,0,2,2,5,Mojica,38,3,Javier Mojica (PUR),4,167559,/basketballworldcup/2019/player/Javier-Mojica,7,10,Guard,2322,N/A,4,0,0,PUR,Javier Mojica
218,3,0,9,0,17.0,10,4,3,1,0,0,5,Franklin,73,4,Alexander Franklin (PUR),10,186817,/basketballworldcup/2019/player/Alexander-Franklin,-30,11,Forward,4416,N/A,1,0,3,PUR,Alexander Franklin
219,0,0,10,0,15.0,8,5,6,1,3,3,5,Clemente,65,5,Ramon Clemente (PUR),5,178219,/basketballworldcup/2019/player/Ramon-Clemente,-5,16,Power Forward,3906,N/A,1,0,9,PUR,Ramon Clemente
220,2,1,13,0,36.0,26,13,1,0,4,3,5,Collier,110,7,Devon Collier (PUR),12,192062,/basketballworldcup/2019/player/Devon-Collier,-2,29,Forward,6640,N/A,2,0,3,PUR,Devon Collier
221,3,0,10,0,34.0,20,10,6,1,8,7,5,Pineiro,81,4,Isaiah Pineiro (PUR),10,269853,/basketballworldcup/2019/player/Isaiah-Pineiro,-33,30,Forward,4873,N/A,5,0,2,PUR,Isaiah Pineiro
222,10,7,16,0,46.0,40,16,6,0,18,13,5,Balkman,141,10,Renaldo Balkman (PUR),14,182309,/basketballworldcup/2019/player/Renaldo-Balkman,-43,45,Power Forward,8462,N/A,7,0,14,PUR,Renaldo Balkman
223,2,3,11,0,23.0,17,7,4,2,2,1,5,Díaz,68,3,Jorge Bryan Díaz (PUR),11,153295,/basketballworldcup/2019/player/Jorge-Bryan-Díaz,-31,21,Center,4108,N/A,1,0,5,PUR,Jorge Bryan Díaz
224,19,2,19,1,89.0,34,19,15,6,19,9,5,Ben Romdhane,140,17,Makram Ben Romdhane (TUN),16,171574,/basketballworldcup/2019/player/Makram-Ben-Romdhane,30,65,Power Forward,8446,N/A,9,0,8,TUN,Makram Ben Romdhane
225,22,0,12,0,69.0,23,12,15,4,20,17,5,Abada,157,2,Omar Abada (TUN),8,184221,/basketballworldcup/2019/player/Omar-Abada,9,53,Point Guard,9458,N/A,13,0,8,TUN,Omar Abada
226,12,16,38,2,126.0,38,24,19,7,14,12,5,Mejri,154,13,Salah Mejri (TUN),14,161521,/basketballworldcup/2019/player/Salah-Mejri,5,81,Center,9279,N/A,5,0,11,TUN,Salah Mejri
227,2,0,1,0,3.0,2,1,5,2,0,0,4,Knioua,42,0,Nizar Knioua (TUN),4,158479,/basketballworldcup/2019/player/Nizar-Knioua,-18,8,Point Guard,2542,N/A,1,0,5,TUN,Nizar Knioua
228,12,1,6,0,28.0,15,7,25,6,5,4,5,El Mabrouk,143,4,Mourad El Mabrouk (TUN),5,148550,/basketballworldcup/2019/player/Mourad-El-Mabrouk,24,36,Shooting Guard,8612,N/A,1,0,4,TUN,Mourad El Mabrouk
229,3,0,0,0,1.0,9,2,5,1,2,1,5,Chennoufi,55,2,Ziyed Chennoufi (TUN),8,154782,/basketballworldcup/2019/player/Ziyed-Chennoufi,-42,8,Shooting Guard,3354,N/A,2,0,2,TUN,Ziyed Chennoufi
230,19,0,9,0,64.0,39,21,24,8,6,5,5,Roll,163,2,Michael Roll (TUN),12,185990,/basketballworldcup/2019/player/Michael-Roll,19,71,Shooting Guard,9836,N/A,5,0,7,TUN,Michael Roll
